start,end,file
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 53.516 -to 54.117 -c:a libmp3lame -q:a 2 "audio/your-song/091.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 54.117 -to 54.717 -c:a libmp3lame -q:a 2 "audio/your-song/092.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 54.717 -to 55.318 -c:a libmp3lame -q:a 2 "audio/your-song/093.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 55.318 -to 55.918 -c:a libmp3lame -q:a 2 "audio/your-song/094.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 55.918 -to 56.519 -c:a libmp3lame -q:a 2 "audio/your-song/095.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 56.519 -to 57.119 -c:a libmp3lame -q:a 2 "audio/your-song/096.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 57.119 -to 57.720 -c:a libmp3lame -q:a 2 "audio/your-song/097.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 57.720 -to 58.320 -c:a libmp3lame -q:a 2 "audio/your-song/098.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 58.320 -to 58.921 -c:a libmp3lame -q:a 2 "audio/your-song/099.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 58.921 -to 59.521 -c:a libmp3lame -q:a 2 "audio/your-song/100.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 59.521 -to 60.122 -c:a libmp3lame -q:a 2 "audio/your-song/101.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 60.122 -to 60.722 -c:a libmp3lame -q:a 2 "audio/your-song/102.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 60.722 -to 61.323 -c:a libmp3lame -q:a 2 "audio/your-song/103.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 61.323 -to 61.924 -c:a libmp3lame -q:a 2 "audio/your-song/104.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 61.924 -to 62.524 -c:a libmp3lame -q:a 2 "audio/your-song/105.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 62.524 -to 63.125 -c:a libmp3lame -q:a 2 "audio/your-song/106.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 63.125 -to 63.725 -c:a libmp3lame -q:a 2 "audio/your-song/107.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 63.725 -to 64.326 -c:a libmp3lame -q:a 2 "audio/your-song/108.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 64.326 -to 64.926 -c:a libmp3lame -q:a 2 "audio/your-song/109.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 64.926 -to 65.527 -c:a libmp3lame -q:a 2 "audio/your-song/110.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 65.527 -to 66.127 -c:a libmp3lame -q:a 2 "audio/your-song/111.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 66.127 -to 66.728 -c:a libmp3lame -q:a 2 "audio/your-song/112.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 66.728 -to 67.328 -c:a libmp3lame -q:a 2 "audio/your-song/113.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 67.328 -to 67.929 -c:a libmp3lame -q:a 2 "audio/your-song/114.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 67.929 -to 68.529 -c:a libmp3lame -q:a 2 "audio/your-song/115.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 68.529 -to 69.130 -c:a libmp3lame -q:a 2 "audio/your-song/116.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 69.130 -to 69.730 -c:a libmp3lame -q:a 2 "audio/your-song/117.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 69.730 -to 70.331 -c:a libmp3lame -q:a 2 "audio/your-song/118.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 70.331 -to 70.932 -c:a libmp3lame -q:a 2 "audio/your-song/119.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 70.932 -to 71.532 -c:a libmp3lame -q:a 2 "audio/your-song/120.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 71.532 -to 72.133 -c:a libmp3lame -q:a 2 "audio/your-song/121.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 72.133 -to 72.733 -c:a libmp3lame -q:a 2 "audio/your-song/122.mp3"
